# GOA version used: 2020-10-06
#GO	IC	Frequency
GO:1905515	4.566563344144513	2.7129179298802036e-05
GO:0006215	8.41855509210667	3.814564018391737e-09
GO:0003826	5.138361329838168	7.2717454887201695e-06
GO:0071988	5.5937786296311245	2.5481287642856804e-06
GO:2000238	6.117525096442689	7.629128036783475e-07
GO:0002632	8.41855509210667	3.814564018391737e-09
GO:0045250	7.169034248585889	6.775880707164451e-08
GO:0048731	3.427235963280533	0.0003739073796467765
GO:0050253	5.969968022228148	1.0715982057597667e-06
GO:0102571	6.093851364679383	8.056541254982188e-07
GO:1905755	8.41855509210667	3.814564018391737e-09
GO:0070565	7.373154231241814	4.234925441977782e-08
GO:0016255	4.283772562724815	5.202683864684491e-05
GO:2001056	4.441838387743288	3.615443776631689e-05
GO:0010145	6.8622525913393835	1.3732430466210253e-07
GO:1902498	5.7770809816025706	1.670779040055581e-06
GO:0043130	4.212557214979278	6.129750320538228e-05
GO:0070427	6.737313854731083	1.830990728828034e-07
GO:0086047	6.318184546989108	4.806350663173589e-07
GO:0052722	6.805658593720574	1.564376942714988e-07
GO:1902609	6.83877149548986	1.4495343269888603e-07
GO:0045281	4.07478154497621	8.418184793563434e-05
GO:1900535	6.474072419956502	3.356816336184729e-07
GO:0035937	8.41855509210667	3.814564018391737e-09
GO:0052084	8.41855509210667	3.814564018391737e-09
GO:0043155	6.484056640863103	3.280525055816894e-07
GO:0098971	6.040157191158532	9.116808003956252e-07
GO:0008925	5.148443337491556	7.104878614830571e-06
GO:0070543	6.54349382871497	2.860923013793803e-07
GO:1990074	5.431783357840425	3.700127097839985e-06
GO:1903720	7.6404038417230264	2.2887384110350425e-08
GO:0030256	4.223750351733231	5.9737858284538595e-05
GO:0060353	5.716124555661145	1.9225402652694357e-06
GO:0098845	5.835335136168539	1.4610492774823349e-06
GO:0045621	4.627496348514845	2.3577820197679327e-05
GO:0030131	3.8134031665216006	0.00015367273951304776
GO:0071019	8.373154231241813	4.234925441977782e-09
GO:0050431	5.348028973776657	4.487154530687491e-06
GO:0018794	8.583809844104218	2.60729490452498e-09
GO:0015607	6.827934988431726	1.4861580955792385e-07
GO:0016361	5.975283810527023	1.058561731237142e-06
GO:0043408	3.5819967990830177	0.00026182023053035366
GO:0030391	8.41855509210667	3.814564018391737e-09
GO:0010189	5.990420298077882	1.0223031569289857e-06
GO:0061334	7.377162406948445	4.196020420230911e-08
GO:0016492	5.8848398397681985	1.30364745226249e-06
GO:0000096	2.3584796828018413	0.004380466034212206
GO:0046006	5.187595536358101	6.492387959302737e-06
GO:0008688	5.2678394986473	5.397100452366709e-06
GO:1990638	8.117525096442689	7.629128036783474e-09
GO:0097389	8.41855509210667	3.814564018391737e-09
GO:1990503	8.373154231241813	4.234925441977782e-09
GO:0033103	5.517642024369001	3.0363929586398228e-06
GO:0150167	8.41855509210667	3.814564018391737e-09
GO:1901045	7.242463833050989	5.721846027587606e-08
GO:0000712	4.942013283079241	1.1428433799101646e-05
GO:0097516	7.771094239913851	1.693970176791113e-08
GO:0033486	8.117525096442689	7.629128036783474e-09
GO:0010633	4.779367532170916	1.66200554281328e-05
GO:0005589	7.47006424424987	3.387940353582226e-08
GO:0090689	6.602302219599669	2.4986060107668914e-07
GO:0035387	8.41855509210667	3.814564018391737e-09
GO:0032491	6.440831486817823	3.6238358174721505e-07
GO:0140113	8.41855509210667	3.814564018391737e-09
GO:1905449	6.168135089797777	6.789923952737292e-07
GO:1900342	8.41855509210667	3.814564018391737e-09
GO:0030942	4.859697890143005	1.3813448404173345e-05
GO:0008109	6.659530558042336	2.1901277198009832e-07
GO:0017009	4.846380778493611	1.4243582044674746e-05
GO:0102774	8.583809844104218	2.60729490452498e-09
GO:0008214	3.8499310166813974	0.0001412761929851564
GO:1901723	5.962189058977628	1.0909653092600368e-06
GO:1990683	6.605641735463815	2.479466611954629e-07
GO:0008216	3.310057720758411	0.0004897137286811312
GO:0019515	8.41855509210667	3.814564018391737e-09
GO:0070247	6.7953058017087695	1.6021168877245298e-07
GO:0016126	3.744705114763721	0.0001800092760279061
GO:1905237	7.6404038417230264	2.2887384110350425e-08
GO:0045941	8.41855509210667	3.814564018391737e-09
GO:0070243	5.5528590321906	2.7998899894995352e-06
GO:0071624	5.304277795545084	4.96274778792765e-06
GO:1903923	6.354097102879752	4.4248942613344154e-07
GO:0035011	6.0019145847683895	9.956012088002435e-07
GO:0033252	7.464312582667345	3.433107616552563e-08
GO:0006935	2.6017816930693507	0.0025016025269533567
GO:0035833	8.41855509210667	3.814564018391737e-09
GO:0000417	5.948272594610747	1.12649016756609e-06
GO:0001756	4.735417960623663	1.8390013132666567e-05
GO:0044576	7.941433837387008	1.1443692055175213e-08
GO:0015756	4.620457160044184	2.3963091163536895e-05
GO:0034723	5.349257079991141	4.4744835935735076e-06
GO:0090374	6.183026645199122	6.561050111633788e-07
GO:0010816	6.662680236434179	2.1743014904832902e-07
GO:1990237	7.117525096442689	7.629128036783475e-08
GO:0010421	6.549323372375694	2.8227773736098856e-07
GO:0019519	6.332195261431922	4.6537681024379194e-07
GO:0010650	7.573457052092413	2.6701948128742162e-08
GO:0044662	5.473579183694622	3.3606309002031205e-06
GO:1905309	6.183026645199122	6.561050111633788e-07
GO:0042174	4.693869703869311	2.0236262117568167e-05
GO:0046882	6.567296743387595	2.7083404530581336e-07
GO:0075187	8.41855509210667	3.814564018391737e-09
GO:1900356	8.41855509210667	3.814564018391737e-09
GO:0047517	6.4534760756092115	3.519848121108723e-07
GO:0003713	3.9508466759369565	0.0001119833161493479
GO:0021788	8.41855509210667	3.814564018391737e-09
GO:0005961	8.41855509210667	3.814564018391737e-09
GO:0061906	8.41855509210667	3.814564018391737e-09
GO:0009405	2.9309713334830874	0.0011722727413120567
GO:0046277	8.41855509210667	3.814564018391737e-09
GO:1990687	8.41855509210667	3.814564018391737e-09
GO:0034509	8.41855509210667	3.814564018391737e-09
GO:0000745	8.41855509210667	3.814564018391737e-09
GO:0019629	3.9906310144223496	0.00010218072636065947
GO:0000088	8.41855509210667	3.814564018391737e-09
GO:0035454	8.373154231241813	4.234925441977782e-09
GO:2000060	4.497805830830962	3.178294740123995e-05
GO:0019725	2.688149960676292	0.0020504540404981658
GO:0090521	5.993673455475603	1.014674028892202e-06
GO:1905651	6.126299020750194	7.476545476047805e-07
GO:0033153	5.424678177165459	3.761160122134253e-06
GO:0039612	3.5874278987078436	0.00025856640742266554
GO:0048338	6.3932492268419	4.0434378594952414e-07
GO:0046598	5.741861482481804	1.8119179087360751e-06
GO:0002816	6.987191327947683	1.0299322849657691e-07
GO:0014864	8.41855509210667	3.814564018391737e-09
GO:0007288	5.385131336619721	4.119729139863076e-06
GO:0098899	8.373154231241813	4.234925441977782e-09
GO:0008779	4.8545640368789105	1.3977707983158419e-05
GO:0002350	8.41855509210667	3.814564018391737e-09
GO:0018003	7.242463833050989	5.721846027587606e-08
GO:0070938	4.97209850546997	1.0663542262900055e-05
GO:1903458	8.373154231241813	4.234925441977782e-09
GO:0034665	6.308696242014895	4.912513512694227e-07
GO:1903016	6.068307073772507	8.544623401197492e-07
GO:0071286	5.885800713114173	1.3007663302715824e-06
GO:0031618	5.304277795545084	4.96274778792765e-06
GO:0033931	7.353360922725944	4.432401337692466e-08
GO:0060966	4.4754069627481075	3.346517013335071e-05
GO:0045722	5.546982156560792	2.8380356296834524e-06
GO:0090428	7.941433837387008	1.1443692055175213e-08
GO:0045992	6.385131336619721	4.1197291398630764e-07
GO:0045266	8.373154231241813	4.234925441977782e-09
GO:0061241	8.41855509210667	3.814564018391737e-09
GO:1903687	7.6404038417230264	2.2887384110350425e-08
GO:0002464	8.41855509210667	3.814564018391737e-09
GO:0016100	7.6404038417230264	2.2887384110350425e-08
GO:0052820	7.981749852776255	1.042917961809992e-08
GO:0061189	6.7283590120781565	1.8691363690119512e-07
GO:1903777	7.407718585048537	3.91094235678747e-08
GO:0031603	8.373154231241813	4.234925441977782e-09
GO:0042377	6.605641735463815	2.479466611954629e-07
GO:0006219	8.41855509210667	3.814564018391737e-09
GO:0009031	8.41855509210667	3.814564018391737e-09
GO:0042651	2.4410515003244972	0.0036220004478348957
GO:0034507	7.293972985194189	5.0819105303733386e-08
GO:1900056	6.5209280008162285	3.0135055745294726e-07
GO:1901248	6.626163402608417	2.3650296914028772e-07
GO:0046763	8.41855509210667	3.814564018391737e-09
GO:1904508	7.214435109450745	6.103302429426779e-08
GO:0030461	8.41855509210667	3.814564018391737e-09
GO:1900662	8.41855509210667	3.814564018391737e-09
GO:0010938	6.633225257095903	2.3268840512189597e-07
